,Customer Name,Review Title,Rating,Reviews
313,ABHISHEK PALTA,MIND BLOWING GAME🔥,5.0 out of 5 stars,"  WOW! WHAT AN AMAZING GAME.BEAUTIFUL GRAPHICS. DELIVERY ON TIME.DLC CODE WORKED.THANKS TO AMAZON AND CLOUDTAIL.WHEN YOU REDEEM THE CODE YOU WILL GET ""THE CITY THAT NEVER SLEEPS - SEASON PASS"" AND AN AVATAR. AFTER REDEEMING THE CODE, GO TO PS STORE AND SEARCH FOR SPIDERMAN DLC, CLICK ON THE 3 DLCS ONE BY ONE AND YOU WILL SEE DOWNLOAD OPTION.(WHEN YOU SEE THE DLC THERE MIGHT BE PRICE MENTIONED, DON'T WORRY JUST CLICK ON DLC ONE BY ONE AND YOU WILL GET DOWNLOAD OPTION). DLCS TOTAL DOWNLOAD SIZE IS AROUND 8.5GBTO ACCESS THE DLC, FIRST START THE GAME, THEN WHEN YOU ARE IN GAME CLICK ON THE TOUCH-PAD TO ACCESS MAP AND THERE YOU WILL SEE DLC TAB.ONE IMPORTANT THING IS I GOT THE DLC TAB AFTER THE UPDATE. BEFORE UPDATE DLC TAB WAS NOT THERE. (UPDATE SIZE IS AROUND 17GB)HOPE MY REVIEW HELPS:)"
314,Rituparna Baruah,Masterpiece 🤩🤩🤩,5.0 out of 5 stars,"  My first PS4 game, bought it since I am Spidey fanboy since childhood. Have played all Spidey Games but hands down to this title. It is way 100x more better than all the Spider Man games combined. I bought a PS4 only for playing this title, maybe the best decision I have ever took. This game is such a joy because once you start playing it you can't get your hands off this game. If you are true Spidey fan just go for it. Marvel's Spiderman is one of the best open world game and the best superhero game of all time in my opinion."
315,ishaan joshi,Perfect Spidey Game!!!!!,5.0 out of 5 stars,"  Perfect gameDelivery was great. For me code was working. Thanks amazonStory,gameplay,graphics, everything is perfectA must buy game. Really enjoyed this game"
316,neha mahajan,Just staright up go for it,5.0 out of 5 stars,"  Hi, so what I liked about this game is the graphics and the story. This is way better than miles Morales. I bought the game in 2019 july. I am writing the review so all of you can know you should go for this not miles morales"
317,Tejesh,A worth it game!,5.0 out of 5 stars,  A great game. One of the best ps4 exclusiveA great story and gameplay.But there some bugs and glitches thought the game.But go for it. Atleat one time play
318,Ansh,Incredible,5.0 out of 5 stars,  Amazing game but there is one big mistake. When spiders get on Mary Jane's shoulder she throws the spider down. But later spider can be seen on her body. How? You should buy this game .....
319,Shivangi z.,One of the best game,5.0 out of 5 stars,  It is the best game i have ever had especially the season pass that gets us the access to all dlc for free. If you buy the same normal game and then buy the dlc that will cost you much more so I recommend this buying this.
320,Samveg jain,Sipderman!!!!!,5.0 out of 5 stars,  It's a vey good game for young childrenIt's very very better game than COD
321,Sumit Bhowmik,Nice superhero game,5.0 out of 5 stars,  As compared to other spiderman games this is much better.
322,Rahul Singh,Exceptionally Awesome,5.0 out of 5 stars,"  Worthy game. Awesome. Go for it.Fun, Story is very good. Must play game on playstation.Enjoy gaming. Peace 🕉️"
323,manu,Awesome game,5.0 out of 5 stars,  I like it so much and it was fun to play the games with kids. A must buy for all
324,Vaibhav Kharare,Best Game Ever,5.0 out of 5 stars,"  Best Game Ever! I bought it elsewhere but it's been too much fun, sort of addictive. Great buy, everyone! VK"
325,Amit Karsel,Not recommended,1.0 out of 5 stars,  Non sense game.. Not recommended. Don't waste your money
326,Parth,One of the best games to ever be created!,5.0 out of 5 stars,"  As we all know ps4 has the best games in the gaming industry and this one is an amazing piece of art. The controls are smooth, the graphics are hd and gameplay is just something a true gamer would like!"
327,gireesh,Better buy on psn,1.0 out of 5 stars,  This edition is cheaper on psn. Rs 1499 currently.
328,Jineet Desai,Jineet Desai,5.0 out of 5 stars,  One of the best games I ever played👍🏻🙌🏻
329,Amol Verma ,I need part-2,5.0 out of 5 stars,  I love this but part2 is expensive more are there but every Spider-Man parts l love but miles morels I need☹️😥😥
330,Sameep,Scratch on Disc,1.0 out of 5 stars,"  There was scratch and disc wasn't inserted in the spot had to return it, please be careful and check it while accepting"
331,sruthik,Awesome one,5.0 out of 5 stars,  One of the finest exclusive for playstation. You won't regret buying it.
332,Anupama sharma,Awesome game and affordable,5.0 out of 5 stars,  Best gameplay after jedi fallen order. Its affordable and also includes the dlc which is awesome. I Loved it throughout.
333,Neetha,Marvel spiderman PS4 game,5.0 out of 5 stars,  Incredible game must buy .Worth the money.
334,Vsah26,Amazing game,5.0 out of 5 stars,  Great Game... Amazing graphics ! Must buy for every game lover.
335,Samurai Azashi,Nice Game,5.0 out of 5 stars,  Waiting for a sequel.
336,Manju,Spider man,5.0 out of 5 stars,  It’s awesome 😎
337,Arbaaz A.,Best,5.0 out of 5 stars,  Best
338,ADARSH,I didnt get my dlc,4.0 out of 5 stars,  I didnt get the dlc but it is written contains dlc.But the game is the best
339,ANAND M Raichur,Super,5.0 out of 5 stars,"  Excellent game, Good packing by Amazon"
340,Siddhant,Beat  game,5.0 out of 5 stars,  Best  game  in world
341,Gugu,A1,5.0 out of 5 stars,  Fantastic
342,ALANKAR,Op,5.0 out of 5 stars,  Greta game for marvel fans
343,afsheen,Game,5.0 out of 5 stars,  Very good game
344,Amazon Customer,DLC,2.0 out of 5 stars,  DLC not working
345,Nitin sachdeva,Best game ever,5.0 out of 5 stars,  Feels very good. Graphics are quite real. Feels great when swinging.
346,Shehin,Enjoyed Every Second Of Gameplay,5.0 out of 5 stars,  Must play for Ps4... .... ....
347,Vignesh Thota,Must Play,5.0 out of 5 stars,"  Awesome game, One of the most enjoyed games in a while. Even if I don't play the game, I keep swinging the whole city which feels so good...😅😅"
348,Anuj,Good Game.,5.0 out of 5 stars,  The game I received was perfect.
349,Lucky Raj,Excellent Game,5.0 out of 5 stars,  Excellent Game
350,Amazon Customer,Awesome!!,5.0 out of 5 stars,  Awesome... Worth every penny!! Go for it...
351,Sundy,Excellent,5.0 out of 5 stars,  Nice game
352,Abhinav Venkat Shankar,Fantastic,5.0 out of 5 stars,  Best game you will ever play
353,Avirup Das,Great game,5.0 out of 5 stars,  JUST AMAZING... BEST GAME EVER.
